model name	subset name	split	class	lAcc	lAcc (norm)	CER (total)	CER (errors)
BART_4-4-404_66m	poetic_20	holdout	10001-n	0.9791918055542954	0.9871999588705117	0.009078688541613087	0.43630352288865754
BART_4-4-404_66m	poetic_20	holdout	punct	0.9984515777592934	0.9984515777592934	0.0014488431036809766	0.9356899336577318
BART_4-4-404_66m	poetic_20	holdout	all	0.9965558424397697	0.9973769230676411	0.001609002950662212	0.4671687989078603
BART_4-4-404_66m	poetic_20	unknown	1-100	0.9115180153573538	0.9173065564087419	0.05660802182656879	0.639768898213491
BART_4-4-404_66m	poetic_20	unknown	101-1000	0.9657264908905737	0.9692910489985289	0.012689225349418288	0.37023420359161174
BART_4-4-404_66m	poetic_20	unknown	1001-10000	0.9722996789005219	0.974061019360102	0.007615025742984958	0.2749074899037339
BART_4-4-404_66m	poetic_20	unknown	10001-n	0.947732645604986	0.9604193232562027	0.012681272988282614	0.24262320400690376
BART_4-4-404_66m	poetic_20	unknown	punct	1.0	1.0	0.0	0.0
BART_4-4-404_66m	poetic_20	unknown	all	0.9556557689766179	0.964648171098139	0.011403632048127835	0.2571615694973909
BART_4-4-404_66m	poetic_20	all	1-100	0.9992480941629451	0.9993038352891676	0.0004532552004287357	0.6028084609690827
BART_4-4-404_66m	poetic_20	all	101-1000	0.992976476102645	0.9940435730373526	0.002596894307144159	0.3697423608286025
BART_4-4-404_66m	poetic_20	all	1001-10000	0.9924364296027084	0.9933986980981778	0.002236032132061341	0.29563182658576376
BART_4-4-404_66m	poetic_20	all	10001-n	0.9599116289116764	0.9707870798846305	0.0112865817152916	0.28154253737136714
BART_4-4-404_66m	poetic_20	all	punct	0.9984515783013712	0.9984515783013712	0.001448842596464133	0.9356899336577318
BART_4-4-404_66m	poetic_20	all	all	0.9912552688338314	0.9931353375604381	0.0028783687018204586	0.3291546243246717
